masco_code,job_title,url
7212-06,Jurukimpal Arka Logam Gas,https://emasco.mohr.gov.my/masco/7212-06
7213-03,Pembuat Dandang,https://emasco.mohr.gov.my/masco/7213-03
7214-01,Penyedia Struktur Logam,https://emasco.mohr.gov.my/masco/7214-01
7231-01,Mekanik Motosikal,https://emasco.mohr.gov.my/masco/7231-01
7231-07,Mekanik Enjin Diesel,https://emasco.mohr.gov.my/masco/7231-07
7231-15,Jurugegas Diesel (pengangkutan jalan),https://emasco.mohr.gov.my/masco/7231-15
7233-07,Mekanik Jentera Pembinaan,https://emasco.mohr.gov.my/masco/7233-07
7318-02,Pencanting Batik,https://emasco.mohr.gov.my/masco/7318-02
7318-06,"Pekerja Kraftangan, Tekstil",https://emasco.mohr.gov.my/masco/7318-04
7322-21,Pembantu Pencetakan,https://emasco.mohr.gov.my/masco/7322-21
7412-01,Pendawai Elektrik,https://emasco.mohr.gov.my/masco/7412-01
7412-03,Penjaga Jentera Sekatan Voltan Tinggi,https://emasco.mohr.gov.my/masco/7412-03
7412-06,Pendawai,https://emasco.mohr.gov.my/masco/7412-06
7412-21,Penjaga Jentera Elektrik,https://emasco.mohr.gov.my/masco/7412-21
7412-25,Pendawai Elektrik,https://emasco.mohr.gov.my/masco/7412-25
7422-02,Pembaik Pulih Telefon Bimbit,https://emasco.mohr.gov.my/masco/7422-02
7512-01,Pembuat Roti,https://emasco.mohr.gov.my/masco/7512-01
7512-02,Pembuat Pastri,https://emasco.mohr.gov.my/masco/7512-02
7512-09,Pembantu Bakeri,https://emasco.mohr.gov.my/masco/7512-09
8159-07,Pembuat Pola (Pakaian),https://emasco.mohr.gov.my/masco/8159-07
7621-09,Pekerja Menjahit,https://emasco.mohr.gov.my/masco/7621-09
8142-01,Operator Mesin Pengacuan Suntikan (Plastik),https://emasco.mohr.gov.my/masco/8142-01
